ZREP,ZFIN,Material,RI Description,Cell,CBU Brand,RI CBU,RI Brand,RI Occasion,Major Pack,Minor Pack,Flavor/Form,Supply Segment,Product Type,Consumption Type,CRI Number,CRI Fert,CRI Description,CRI CBU,CRI Brand,CI Child Ingredient,CRI Major Pack,CRI Minor Pack,CRI UDP3_Brand Flavor/Form,CRI Supply Segment,Core/Non_Core/Innov/Seasonal,RI UDP1_DMR Type,Display Type,GSV 2024,NSV 2024,MAC $ 2024,GSV 2025,NSV 2025,MAC$ 2025,MAC_perc,Prime margin,Growth,Price Increase,List Price,GSV per case,Trade rate,NSV per case,Raw Materials,Packaging,Raw Waste,Package Waste,Total Primes,Labor,EXP PROD,OH Labor,OH Expense,Coman/Copack,Depreciation,Total MCC,Total WTD ICE,Logistics,Logistics/NSV,Total COGS Per Case,COGS_perc GSV,MAC $ Per Case,Raw materials per tonne,Plant,Declared weight,Case Count,List price per tonne,GSV per tonne,NSV per tonne,Packaging Per Tonne,Total primes per tonne,Labor per tonne,EXP PROD per tonne,Raw waste per tonne,Package Waste Per Tonne,OH Labor per tonne,OH Expense per tonne,Coman/Copack Per Tonne,Depreciation per tonne,Total MCC per tonne,Total WTD ICE per tonne,Logistics per tonne,MAC $ Per Tonne
283441.00,439933,10107401,SK ORI FS 22LB BULK,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Funsize,Bulk,SKITTLES ORIGINAL,Panned Sugar,Chewy /Toffee Candy,Future Consumption,283441.0,0.0,SK ORI FS 22LB BULK,Fruity Confections,SKITTLES,Original,Funsize,Bulk,SKITTLES ORIGINAL,Panned Sugar,Seasonal,SEAS,NON-DISPLAY,$8516896.82,$7251105.82018026,$2441876.56812181,,,,33.68%,68.38%,,Post - June 2022,69.58,68.39714,14.86%,58.2318784,12.52179,4.84969,0.75131,0.29098,18.41377,5.75725,2.2878,0.404334,0.269556,0,0.96662,9.68556,28.09933,10.52242783,18.07%,38.62175783,56%,19.61012057,1254.688377,WAC,9.98,1.0,6971.943888,6853.420842,5834.857555,485.9408818,1845.067134,576.8787575,229.238477,75.28156313,29.15631263,40.51442886,27.00961924,0,96.85571142,970.496994,2815.564128,1054.351486,1964.941941
283441.00,439933,10107401,SK ORI FS 22LB BULK,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Funsize,Bulk,SKITTLES ORIGINAL,Panned Sugar,Chewy /Toffee Candy,Future Consumption,283441.0,0.0,SK ORI FS 22LB BULK,Fruity Confections,SKITTLES,Original,Funsize,Bulk,SKITTLES ORIGINAL,Panned Sugar,Seasonal,SEAS,NON-DISPLAY,,,,$7704735.45,$6641481.9579,$2290855.21101971,34.49%,68.77%,,Post - June 2022,69.58,68.39714,13.80%,58.95833468,12.52179,4.84969,0.75131,0.29098,18.41377,5.75725,2.2878,0.404334,0.269556,0,0.96662,9.68556,28.09933,10.52242783,17.85%,38.62175783,56%,20.33657685,1254.688377,WAC,9.98,1.0,6971.943888,6853.420842,5907.648766,485.9408818,1845.067134,576.8787575,229.238477,75.28156313,29.15631263,40.51442886,27.00961924,0,96.85571142,970.496994,2815.564128,1054.351486,2037.733151
466422.00,,10286410,MXD MM PARTY FEB PDQ WAGS 17CT IDM,Bars,ChocolateMixed,Chocolate,Mixed,Not Applicable,Stand Up All Other,X-large,MIXED SNACKFOOD,Mixed,Mixed,Future Consumption,107571.0,0.0,SNICKERS MINIATURES 20LB BULK CASE,Chocolate,SNICKERS,Original,Miniatures,Bulk,SNICKERS BAR,Filled Bar,Non-Core,DISP,NON-DISPLAY,$33710.01,$27222.0530402619,$8974.7770841909,,,,32.97%,69.25%,,Post - June 2023,193.52,190.23016,19.25%,153.6177386,37.90272,6.21912,2.9631,0.1531,47.23804,7.7905,8.4779,0.6566,0.4377,8.37,2.9206,28.6533,75.89134,27.0805139,17.63%,102.9718539,54%,50.64588473,2210.071137,COP,17.15,17.0,11283.96501,11092.13761,8957.302544,362.6309038,2754.404665,454.2565598,494.3381924,172.7755102,8.927113703,38.28571429,25.52186589,488.0466472,170.2973761,1670.746356,4425.15102,1579.038711,2953.112812
466422.00,,10286410,MXD MM PARTY FEB PDQ WAGS 17CT IDM,Bars,ChocolateMixed,Chocolate,Mixed,Not Applicable,Stand Up All Other,X-large,MIXED SNACKFOOD,Mixed,Mixed,Future Consumption,126448.0,0.0,MILKY WAY MINIATURES 20LB BULK CASE,Chocolate,MILKY WAY US,Original,Miniatures,Bulk,MILKY WAY ORIGINAL,Filled Bar,Core,DISP,NON-DISPLAY,$33426.92,$26993.4476202348,$8899.40868042112,,,,32.97%,69.25%,,Post - June 2023,193.52,190.23016,19.25%,153.6177386,37.90272,6.21912,2.9631,0.1531,47.23804,7.7905,8.4779,0.6566,0.4377,8.37,2.9206,28.6533,75.89134,27.0805139,17.63%,102.9718539,54%,50.64588473,2210.071137,COP,17.15,17.0,11283.96501,11092.13761,8957.302544,362.6309038,2754.404665,454.2565598,494.3381924,172.7755102,8.927113703,38.28571429,25.52186589,488.0466472,170.2973761,1670.746356,4425.15102,1579.038711,2953.112812
466422.00,,10286410,MXD MM PARTY FEB PDQ WAGS 17CT IDM,Bars,ChocolateMixed,Chocolate,Mixed,Not Applicable,Stand Up All Other,X-large,MIXED SNACKFOOD,Mixed,Mixed,Future Consumption,126454.0,0.0,3 MUSKETEERS MINIATURES 14LB BULK CASE,Chocolate,3 MUSKETEERS,Original,Miniatures,Bulk,3 MUSKETEERS ORIGINAL,Filled Bar,Core,DISP,NON-DISPLAY,$33936.97,$27405.3314539443,$9035.2017297792,,,,32.97%,69.25%,,Post - June 2023,193.52,190.23016,19.25%,153.6177386,37.90272,6.21912,2.9631,0.1531,47.23804,7.7905,8.4779,0.6566,0.4377,8.37,2.9206,28.6533,75.89134,27.0805139,17.63%,102.9718539,54%,50.64588473,2210.071137,COP,17.15,17.0,11283.96501,11092.13761,8957.302544,362.6309038,2754.404665,454.2565598,494.3381924,172.7755102,8.927113703,38.28571429,25.52186589,488.0466472,170.2973761,1670.746356,4425.15102,1579.038711,2953.112812
466422.00,,10286410,MXD MM PARTY FEB PDQ WAGS 17CT IDM,Bars,ChocolateMixed,Chocolate,Mixed,Not Applicable,Stand Up All Other,X-large,MIXED SNACKFOOD,Mixed,Mixed,Future Consumption,144029.0,0.0,TWIX CARAMEL FUNSIZE 20LB BULK,Chocolate,TWIX,Caramel,Funsize,Bulk,TWIX CARAMEL BAR,Enrobed Biscuit,,DISP,NON-DISPLAY,$30310.69,$24476.9791188711,$8069.75987304704,,,,32.97%,69.25%,,Post - June 2023,193.52,190.23016,19.25%,153.6177386,37.90272,6.21912,2.9631,0.1531,47.23804,7.7905,8.4779,0.6566,0.4377,8.37,2.9206,28.6533,75.89134,27.0805139,17.63%,102.9718539,54%,50.64588473,2210.071137,COP,17.15,17.0,11283.96501,11092.13761,8957.302544,362.6309038,2754.404665,454.2565598,494.3381924,172.7755102,8.927113703,38.28571429,25.52186589,488.0466472,170.2973761,1670.746356,4425.15102,1579.038711,2953.112812
466422.00,,10286410,MXD MM PARTY FEB PDQ WAGS 17CT IDM,Bars,ChocolateMixed,Chocolate,Mixed,Not Applicable,Stand Up All Other,X-large,MIXED SNACKFOOD,Mixed,Mixed,Future Consumption,144375.0,0.0,TWIX CARAMEL MINIATURES BULK TRANSFER CA,Chocolate,TWIX,Caramel,Miniatures,Bulk,TWIX CARAMEL BAR,Enrobed Biscuit,,DISP,NON-DISPLAY,$44826.46,$36198.9887195874,$11934.3627003789,,,,32.97%,69.25%,,Post - June 2023,193.52,190.23016,19.25%,153.6177386,37.90272,6.21912,2.9631,0.1531,47.23804,7.7905,8.4779,0.6566,0.4377,8.37,2.9206,28.6533,75.89134,27.0805139,17.63%,102.9718539,54%,50.64588473,2210.071137,COP,17.15,17.0,11283.96501,11092.13761,8957.302544,362.6309038,2754.404665,454.2565598,494.3381924,172.7755102,8.927113703,38.28571429,25.52186589,488.0466472,170.2973761,1670.746356,4425.15102,1579.038711,2953.112812
466422.00,,10286410,MXD MM PARTY FEB PDQ WAGS 17CT IDM,Bars,ChocolateMixed,Chocolate,Mixed,Not Applicable,Stand Up All Other,X-large,MIXED SNACKFOOD,Mixed,Mixed,Future Consumption,243121.0,0.0,MILKY WAY MDNGHT MINTR 20LB BULK SALEABL,Chocolate,MILKY WAY US,Midnight,Miniatures,Bulk,MILKY WAY MIDNIGHT,Filled Bar,Non-Core,DISP,NON-DISPLAY,$32293.42,$26078.1053488698,$8597.63155769316,,,,32.97%,69.25%,,Post - June 2023,193.52,190.23016,19.25%,153.6177386,37.90272,6.21912,2.9631,0.1531,47.23804,7.7905,8.4779,0.6566,0.4377,8.37,2.9206,28.6533,75.89134,27.0805139,17.63%,102.9718539,54%,50.64588473,2210.071137,COP,17.15,17.0,11283.96501,11092.13761,8957.302544,362.6309038,2754.404665,454.2565598,494.3381924,172.7755102,8.927113703,38.28571429,25.52186589,488.0466472,170.2973761,1670.746356,4425.15102,1579.038711,2953.112812
466422.00,,10286410,MXD MM PARTY FEB PDQ WAGS 17CT IDM,Bars,ChocolateMixed,Chocolate,Mixed,Not Applicable,Stand Up All Other,X-large,MIXED SNACKFOOD,Mixed,Mixed,Future Consumption,287725.0,0.0,SN ORI FS 20LB BULK - LINED,Chocolate,SNICKERS,Original,Funsize,Bulk,SNICKERS BAR,Filled Bar,Non-Core,DISP,NON-DISPLAY,$73368.22,$59247.4928458818,$19533.171884668,,,,32.97%,69.25%,,Post - June 2023,193.52,190.23016,19.25%,153.6177386,37.90272,6.21912,2.9631,0.1531,47.23804,7.7905,8.4779,0.6566,0.4377,8.37,2.9206,28.6533,75.89134,27.0805139,17.63%,102.9718539,54%,50.64588473,2210.071137,COP,17.15,17.0,11283.96501,11092.13761,8957.302544,362.6309038,2754.404665,454.2565598,494.3381924,172.7755102,8.927113703,38.28571429,25.52186589,488.0466472,170.2973761,1670.746356,4425.15102,1579.038711,2953.112812
425189.00,,10234678,SK ORG FS ECOMM 4LB BULK,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Bulk,Bulk,SKITTLES ORIGINAL,Panned Sugar,Chewy /Toffee Candy,Future Consumption,425189.0,0.0,SK ORG FS ECOMM 4LB BULK,Fruity Confections,SKITTLES,Original,Bulk,Bulk,SKITTLES ORIGINAL,Panned Sugar,Seasonal,OSFC,NON-DISPLAY,$137169.72,$116783.398468422,$16698.8784818132,,,,14.30%,56.04%,,Pre - April 2021,13.1,12.8773,14.86%,10.96346087,2.34094,1.99455,0.376595439,0.106958835,4.819044274,0.744719987,0.409132959,0.081978056,0.054652037,1.050001916,0.323670862,2.664155817,7.483200091,1.912593596,17.45%,9.395793687,73%,1.567667178,1290.485116,COP,1.814,1.0,7221.609702,7098.842337,6043.804226,1099.531422,2656.584495,410.5402354,225.5418738,207.6049829,58.96297409,45.19187211,30.12791455,578.8323682,178.4293616,1468.663626,4125.248121,1054.351486,864.2046186
